,country,year,iso_code,population,gdp,variable,value,energy_source,type,unit,source
20,Africa,2013,,1140180888.0,,biofuel_cons_per_capita,0.523,biofuel,cons,kilowatt-hours,biofuel
21,Africa,2014,,1170299297.0,,biofuel_cons_per_capita,0.498,biofuel,cons,kilowatt-hours,biofuel
22,Africa,2015,,1201108186.0,,biofuel_cons_per_capita,0.613,biofuel,cons,kilowatt-hours,biofuel
23,Africa,2016,,1232111820.0,,biofuel_cons_per_capita,0.552,biofuel,cons,kilowatt-hours,biofuel
24,Africa,2017,,1263333997.0,,biofuel_cons_per_capita,0.529,biofuel,cons,kilowatt-hours,biofuel
25,Africa,2018,,1295265310.0,,biofuel_cons_per_capita,0.784,biofuel,cons,kilowatt-hours,biofuel
26,Africa,2019,,1327701380.0,,biofuel_cons_per_capita,0.662,biofuel,cons,kilowatt-hours,biofuel
27,Africa,2020,,1360677453.0,,biofuel_cons_per_capita,0.668,biofuel,cons,kilowatt-hours,biofuel
28,Africa,2021,,1393676724.0,,biofuel_cons_per_capita,0.775,biofuel,cons,kilowatt-hours,biofuel
29,Africa,2022,,1426736614.0,,biofuel_cons_per_capita,0.578,biofuel,cons,kilowatt-hours,biofuel
103,Antarctica,2013,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
104,Antarctica,2014,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
105,Antarctica,2015,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
106,Antarctica,2016,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
107,Antarctica,2017,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
108,Antarctica,2018,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
109,Antarctica,2019,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
110,Antarctica,2020,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
111,Antarctica,2021,ATA,,,biofuel_cons_per_capita,,biofuel,cons,kilowatt-hours,biofuel
152,Asia,2013,,4365286895.0,,biofuel_cons_per_capita,19.088,biofuel,cons,kilowatt-hours,biofuel
153,Asia,2014,,4412496398.0,,biofuel_cons_per_capita,20.988,biofuel,cons,kilowatt-hours,biofuel
154,Asia,2015,,4458250376.0,,biofuel_cons_per_capita,17.44,biofuel,cons,kilowatt-hours,biofuel
155,Asia,2016,,4502955714.0,,biofuel_cons_per_capita,22.966,biofuel,cons,kilowatt-hours,biofuel
156,Asia,2017,,4547095064.0,,biofuel_cons_per_capita,21.558,biofuel,cons,kilowatt-hours,biofuel
157,Asia,2018,,4588802751.0,,biofuel_cons_per_capita,27.944,biofuel,cons,kilowatt-hours,biofuel
158,Asia,2019,,4627738749.0,,biofuel_cons_per_capita,35.186,biofuel,cons,kilowatt-hours,biofuel
159,Asia,2020,,4663086623.0,,biofuel_cons_per_capita,36.982,biofuel,cons,kilowatt-hours,biofuel
160,Asia,2021,,4693332132.0,,biofuel_cons_per_capita,39.764,biofuel,cons,kilowatt-hours,biofuel
161,Asia,2022,,4721383370.0,,biofuel_cons_per_capita,43.832,biofuel,cons,kilowatt-hours,biofuel
824,Europe,2013,,741180502.0,,biofuel_cons_per_capita,208.462,biofuel,cons,kilowatt-hours,biofuel
825,Europe,2014,,742190861.0,,biofuel_cons_per_capita,222.846,biofuel,cons,kilowatt-hours,biofuel
826,Europe,2015,,743294457.0,,biofuel_cons_per_capita,221.611,biofuel,cons,kilowatt-hours,biofuel
827,Europe,2016,,744516175.0,,biofuel_cons_per_capita,225.025,biofuel,cons,kilowatt-hours,biofuel
828,Europe,2017,,745657647.0,,biofuel_cons_per_capita,241.393,biofuel,cons,kilowatt-hours,biofuel
829,Europe,2018,,746577709.0,,biofuel_cons_per_capita,268.501,biofuel,cons,kilowatt-hours,biofuel
830,Europe,2019,,747418251.0,,biofuel_cons_per_capita,277.517,biofuel,cons,kilowatt-hours,biofuel
831,Europe,2020,,747462669.0,,biofuel_cons_per_capita,289.213,biofuel,cons,kilowatt-hours,biofuel
832,Europe,2021,,746417727.0,,biofuel_cons_per_capita,299.855,biofuel,cons,kilowatt-hours,biofuel
833,Europe,2022,,744806995.0,,biofuel_cons_per_capita,318.66,biofuel,cons,kilowatt-hours,biofuel
1823,North America,2013,,560056144.0,,biofuel_cons_per_capita,680.897,biofuel,cons,kilowatt-hours,biofuel
1824,North America,2014,,565486685.0,,biofuel_cons_per_capita,685.62,biofuel,cons,kilowatt-hours,biofuel
1825,North America,2015,,570726015.0,,biofuel_cons_per_capita,706.363,biofuel,cons,kilowatt-hours,biofuel
1826,North America,2016,,576008328.0,,biofuel_cons_per_capita,754.536,biofuel,cons,kilowatt-hours,biofuel
1827,North America,2017,,581258143.0,,biofuel_cons_per_capita,755.479,biofuel,cons,kilowatt-hours,biofuel
1828,North America,2018,,585864285.0,,biofuel_cons_per_capita,742.032,biofuel,cons,kilowatt-hours,biofuel
1829,North America,2019,,590497015.0,,biofuel_cons_per_capita,756.07,biofuel,cons,kilowatt-hours,biofuel
